Year,Causes,Value
1990,Air Pollution,75478740
1991,Air Pollution,75499175
1992,Air Pollution,75725464
1993,Air Pollution,76048383
1994,Air Pollution,76007922
1995,Air Pollution,75705595
1996,Air Pollution,75556226
1997,Air Pollution,75803548
1998,Air Pollution,75542104
1999,Air Pollution,75496910
2000,Air Pollution,75721239
2001,Air Pollution,75856370
2002,Air Pollution,76196575
2003,Air Pollution,76140902
2004,Air Pollution,75564867
2005,Air Pollution,75721187
2006,Air Pollution,75384326
2007,Air Pollution,75405770
2008,Air Pollution,76019593
2009,Air Pollution,75703383
2010,Air Pollution,75902810
2011,Air Pollution,76120887
2012,Air Pollution,76222871
2013,Air Pollution,76482120
2014,Air Pollution,76367971
2015,Air Pollution,76591404
2016,Air Pollution,76214569
2017,Air Pollution,75774231
2018,Air Pollution,76241416
2019,Air Pollution,77060676
1990,Others,233263104
1991,Others,235376199
1992,Others,237724535
1993,Others,241164863
1994,Others,243269820
1995,Others,244321263
1996,Others,244090662
1997,Others,244807916
1998,Others,245720041
1999,Others,248040103
2000,Others,249929349
2001,Others,251469304
2002,Others,254367908
2003,Others,255769953
2004,Others,255072920
2005,Others,257066955
2006,Others,255694792
2007,Others,255835878
2008,Others,258061713
2009,Others,257888084
2010,Others,259654934
2011,Others,260863924
2012,Others,261947743
2013,Others,263641813
2014,Others,264982710
2015,Others,268429131
2016,Others,270885390
2017,Others,273164064
2018,Others,277050719
2019,Others,282113891
